"Nikola Jokić","DEN",14.1
"Giannis Antetokounmpo","MIL",10.4
"Stephen Curry","GSW",9.
"Jimmy Butler","MIA",8.5
"Kevin Durant","BRK",6.5
"Montrezl Harrell","WAS",5.8
"Karl-Anthony Towns","MIN",4.6
"Rudy Gobert","UTA",4.6
"Al Horford","BOS",4.4
"Trae Young","ATL",4.3
"Joel Embiid","PHI",4.3
"Jarrett Allen","CLE",4.3
"Chris Paul","PHO",4.1
"Draymond Green","GSW",4.1
"Luka Dončić","DAL",4.
"Mike Conley","UTA",4.
"James Harden","BRK",3.9
"LaMelo Ball","CHO",3.8
"Nicolas Batum","LAC",3.7
"Ja Morant","MEM",3.5
"Zach LaVine","CHI",3.5
"Malcolm Brogdon","IND",3.4
"Domantas Sabonis","IND",3.3
"Dejounte Murray","SAS",3.3
"Donovan Mitchell","UTA",3.3
"Anthony Davis","LAL",3.3
"LeBron James","LAL",3.2
"DeMar DeRozan","CHI",2.9
"John Collins","ATL",2.8
"Robert Williams","BOS",2.7
"Myles Turner","IND",2.7
"Kristaps Porziņģis","DAL",2.5
"Paul George","LAC",2.4
"Jonas Valančiūnas","NOP",2.1
"Royce O'Neale","UTA",2.1
"Fred VanVleet","TOR",2.
"Richaun Holmes","SAC",2.
"Harrison Barnes","SAC",2.
"Pat Connaughton","MIL",1.9
"Patrick Beverley","MIN",1.8
"Wendell Carter Jr.","ORL",1.7
"Bam Adebayo","MIA",1.7
"Lonzo Ball","CHI",1.6
"Alex Caruso","CHI",1.5
"Pascal Siakam","TOR",1.4
"Jayson Tatum","BOS",1.3
"Julius Randle","NYK",1.3
"Tyrese Haliburton","SAC",1.3
"Clint Capela","ATL",1.3
"Deandre Ayton","PHO",1.3
"Darius Garland","CLE",1.2
"Devin Booker","PHO",1.1
"Grayson Allen","MIL",1.1
"Matisse Thybulle","PHI",1.
"D'Angelo Russell","MIN",1.
"Cody Martin","CHO",1.
"Jaylen Brown","BOS",0.9
"Bojan Bogdanović","UTA",0.9
"Will Barton","DEN",0.9
"OG Anunoby","TOR",0.9
"Evan Mobley","CLE",0.8
"Jerami Grant","DET",0.8
"Bobby Portis","MIL",0.6
"Shai Gilgeous-Alexander","OKC",0.6
"Anthony Edwards","MIN",0.6
"Miles Bridges","CHO",0.6
"Tyler Herro","MIA",0.5
"Mikal Bridges","PHO",0.5
"Nikola Vučević","CHI",0.4
"Terry Rozier","CHO",0.4
"Jalen Brunson","DAL",0.4
"Gary Trent Jr.","TOR",0.3
"Mitchell Robinson","NYK",0.3
"Tyrese Maxey","PHI",0.3
"Lauri Markkanen","CLE",0.3
"Kyle Lowry","MIA",0.3
"Jrue Holiday","MIL",0.3
"Cole Anthony","ORL",0.3
"P.J. Tucker","MIA",0.2
"CJ McCollum","POR",0.2
"Josh Hart","NOP",0.2
"Mo Bamba","ORL",0.2
"Devin Vassell","SAS",0.1
"Buddy Hield","SAC",0.1
"Dorian Finney-Smith","DAL",0.1
"Kentavious Caldwell-Pope","WAS",0.1
"Andrew Wiggins","GSW",0.
"P.J. Washington","CHO",0.
"Patty Mills","BRK",0.
"Tobias Harris","PHI",0.
"Scottie Barnes","TOR",0.
"Christian Wood","HOU",-0.1
"Garrison Mathews","HOU",-0.1
