"Josh Hart","NOP",-1.1
"Jae'Sean Tate","HOU",-1.2
"LaMarcus Aldridge","SAS",-1.2
"Trevor Ariza","MIA",-1.3
"Austin Rivers","DEN",-1.4
"Norman Powell","POR",-1.4
"Chuma Okeke","ORL",-1.4
"Victor Oladipo","TOT",-1.5
"Wendell Carter Jr.","TOT",-1.5
"RJ Barrett","NYK",-1.5
"Tyler Herro","MIA",-1.6
"Darius Garland","CLE",-1.6
"Wendell Carter Jr.","ORL",-1.8
"Keldon Johnson","SAS",-1.9
"Will Barton","DEN",-2.
"Josh Richardson","DAL",-2.1
"Kelly Oubre Jr.","GSW",-2.1
"Ricky Rubio","MIN",-2.2
"Eric Bledsoe","NOP",-2.3
"Gary Trent Jr.","POR",-2.4
"Terrence Ross","ORL",-2.4
"Coby White","CHI",-2.6
"Blake Griffin","DET",-2.6
"Anthony Edwards","MIN",-2.6
"Patrick Williams","CHI",-2.7
"Gary Trent Jr.","TOT",-2.7
"Cedi Osman","CLE",-2.8
"Goran Dragić","MIA",-3.
"Danuel House","HOU",-3.1
"R.J. Hampton","ORL",-3.2
"Josh Jackson","DET",-3.3
"Armoni Brooks","HOU",-3.3
"Cole Anthony","ORL",-3.3
"Gary Trent Jr.","TOR",-3.4
"Marvin Bagley III","SAC",-3.4
"Garrett Temple","CHI",-3.5
"Rui Hachimura","WAS",-3.5
"Cam Reddish","ATL",-3.6
"Gary Harris","DEN",-3.6
"Luguentz Dort","OKC",-3.7
"Lonnie Walker","SAS",-3.8
"Kevin Porter Jr.","HOU",-3.8
"Dillon Brooks","MEM",-3.9
"Moritz Wagner","ORL",-4.
"P.J. Tucker","TOT",-4.3
"Darius Bazley","OKC",-4.4
"Markelle Fultz","ORL",-4.6
"Michael Carter-Williams","ORL",-4.6
"Gary Harris","TOT",-4.7
"P.J. Tucker","HOU",-4.8
"Isaac Okoro","CLE",-5.
"Ignas Brazdeikis","ORL",-5.1
"Dwayne Bacon","ORL",-5.1
"Théo Maledon","OKC",-5.2
"T.J. Warren","IND",-5.5
"Killian Hayes","DET",-7.3
"Elijah Bryant","MIL",-7.7
"Justin Jackson","MIL",-8.4
"Victor Oladipo","MIA",-10.1
