"James Harden","HOU",11.
"Giannis Antetokounmpo","MIL",10.4
"Anthony Davis","NOP",9.4
"Nikola Jokić","DEN",9.1
"LeBron James","LAL",8.
"Kawhi Leonard","TOR",7.2
"Kyrie Irving","BOS",7.2
"Paul George","OKC",7.2
"Jimmy Butler","MIN",6.9
"Nikola Vučević","ORL",6.6
"Stephen Curry","GSW",6.6
"Damian Lillard","POR",6.4
"Karl-Anthony Towns","MIN",6.
"Kevin Durant","GSW",5.5
"Rudy Gobert","UTA",5.4
"Russell Westbrook","OKC",5.2
"Al Horford","BOS",5.1
"Blake Griffin","DET",5.1
"Joel Embiid","PHI",4.9
"Mike Conley","MEM",4.7
"Danilo Gallinari","LAC",4.3
"Kemba Walker","CHO",4.2
"Chris Paul","HOU",3.9
"Luka Dončić","DAL",3.9
"JaKarr Sampson","CHI",3.7
"Jusuf Nurkić","POR",3.7
"Jimmy Butler","TOT",3.7
"Ben Simmons","PHI",3.6
"R.J. Hunter","BOS",3.6
"D'Angelo Russell","BRK",3.4
"DeAndre Jordan","NYK",3.4
"Montrezl Harrell","LAC",3.3
"Marc Gasol","MEM",3.2
"Marc Gasol","TOT",3.1
"Jimmy Butler","PHI",3.1
"Eric Bledsoe","MIL",3.1
"Jrue Holiday","NOP",3.
"DeMarcus Cousins","GSW",3.
"Clint Capela","HOU",3.
"Victor Oladipo","IND",2.9
"Bradley Beal","WAS",2.9
"Myles Turner","IND",2.5
"Pascal Siakam","TOR",2.4
"Larry Nance Jr.","CLE",2.4
"Tobias Harris","LAC",2.4
"Kyle Lowry","TOR",2.3
"Lou Williams","LAC",2.2
"Otto Porter","CHI",2.2
"Brook Lopez","MIL",2.2
"Robert Covington","MIN",2.2
"Malcolm Brogdon","MIL",2.2
"Jonas Valančiūnas","MEM",2.1
"DeAndre Jordan","TOT",2.1
"Buddy Hield","SAC",2.1
"Andre Drummond","DET",2.1
"Danny Green","TOR",2.
"Darren Collison","IND",1.8
"LaMarcus Aldridge","SAS",1.8
"Paul Millsap","DEN",1.7
"DeAndre Jordan","DAL",1.7
"Kevin Love","CLE",1.6
"Tobias Harris","TOT",1.6
"Robert Covington","TOT",1.6
"Jarrett Allen","BRK",1.6
"Thaddeus Young","IND",1.5
"Julius Randle","NOP",1.5
"Nikola Mirotić","TOT",1.5
"De'Aaron Fox","SAC",1.5
"Derrick Rose","MIN",1.4
"Nikola Mirotić","NOP",1.4
"Joe Ingles","UTA",1.4
"Draymond Green","GSW",1.4
"Rudy Gay","SAS",1.4
"Donovan Mitchell","UTA",1.3
"Delon Wright","MEM",1.2
"Jeremy Lamb","CHO",1.2
"Willie Cauley-Stein","SAC",1.2
"DeMar DeRozan","SAS",1.1
"Steven Adams","OKC",1.1
"CJ McCollum","POR",1.
"Devin Booker","PHO",1.
"Derrick White","SAS",0.9
"John Wall","WAS",0.9
"Otto Porter","TOT",0.9
"John Collins","ATL",0.9
"Patrick Beverley","LAC",0.9
"Marcus Smart","BOS",0.8
"Terrence Ross","ORL",0.8
"Khris Middleton","MIL",0.8
"Zach LaVine","CHI",0.8
"Gordon Hayward","BOS",0.8
"Enes Freedom","NYK",0.8
"Kyle Anderson","MEM",0.8
"Bojan Bogdanović","IND",0.7
"Al-Farouq Aminu","POR",0.7
"Dwyane Wade","MIA",0.6
"Jamal Murray","DEN",0.6
"Aaron Gordon","ORL",0.6
"Spencer Dinwiddie","BRK",0.6
"Fred VanVleet","TOR",0.5
"Joe Harris","BRK",0.5
"Dewayne Dedmon","ATL",0.5
"Robert Covington","PHI",0.5
"D.J. Augustin","ORL",0.5
"Reggie Jackson","DET",0.4
"Josh Richardson","MIA",0.3
"Otto Porter","WAS",0.3
"Jae Crowder","UTA",0.3
"J.J. Redick","PHI",0.2
"Caris LeVert","BRK",0.2
"Serge Ibaka","TOR",0.2
"Jerami Grant","OKC",0.2
"Deandre Ayton","PHO",0.2
"Cody Zeller","CHO",0.1
"Tyler Johnson","MIA",-0.1
"Tobias Harris","PHI",-0.1
"Wayne Ellington","DET",-0.1
"T.J. Warren","PHO",-0.2
"Jayson Tatum","BOS",-0.2
"Ricky Rubio","UTA",-0.2
"Lauri Markkanen","CHI",-0.2
"Marvin Williams","CHO",-0.3
"Klay Thompson","GSW",-0.3
"Jaren Jackson Jr.","MEM",-0.3
"Justin Holiday","CHI",-0.3
"Nicolas Batum","CHO",-0.3
"Lonzo Ball","LAL",-0.3
"Jeff Teague","MIN",-0.4
"Kelly Oubre Jr.","PHO",-0.4
"Cory Joseph","IND",-0.4
"Tyler Johnson","TOT",-0.4
"Jonathan Isaac","ORL",-0.4
"Tristan Thompson","CLE",-0.5
"Danuel House","HOU",-0.5
"Shai Gilgeous-Alexander","LAC",-0.5
"Jordan Clarkson","CLE",-0.5
"Trae Young","ATL",-0.6
"Justise Winslow","MIA",-0.6
"P.J. Tucker","HOU",-0.6
"Jabari Parker","WAS",-0.6
"Reggie Bullock","DET",-0.6
"Bogdan Bogdanović","SAC",-0.6
"Noah Vonleh","NYK",-0.7
"Tomáš Satoranský","WAS",-0.7
"Marcus Morris","BOS",-0.9
"Avery Bradley","MEM",-0.9
"Tyler Johnson","PHO",-1.
"Marvin Bagley III","SAC",-1.
"Dion Waiters","MIA",-1.1
"Goran Dragić","MIA",-1.1
"Reggie Bullock","TOT",-1.1
"Trevor Ariza","PHO",-1.1
"Landry Shamet","LAC",-1.2
"Kelly Oubre Jr.","TOT",-1.2
"Bryn Forbes","SAS",-1.2
"Harrison Barnes","DAL",-1.2
"Iman Shumpert","SAC",-1.3
"Wesley Matthews","DAL",-1.3
"Josh Hart","LAL",-1.3
"Eric Gordon","HOU",-1.3
"Trevor Ariza","TOT",-1.3
"Elfrid Payton","NOP",-1.4
"Kyle Kuzma","LAL",-1.4
"Jeff Green","WAS",-1.4
"Alec Burks","CLE",-1.4
"Harrison Barnes","TOT",-1.4
"Trevor Ariza","WAS",-1.4
"Rajon Rondo","LAL",-1.5
"Jabari Parker","TOT",-1.5
"DeMarre Carroll","BRK",-1.5
"Gary Harris","DEN",-1.6
"Tim Hardaway Jr.","NYK",-1.6
"Wendell Carter Jr.","CHI",-1.6
"Mikal Bridges","PHO",-1.6
"Dennis Smith Jr.","NYK",-1.7
"Harrison Barnes","SAC",-1.7
"Wesley Matthews","TOT",-1.8
"Justin Holiday","TOT",-1.8
"Will Barton","DEN",-1.8
"Dennis Smith Jr.","TOT",-1.9
"Dennis Schröder","OKC",-2.
"Taurean Prince","ATL",-2.
"Emmanuel Mudiay","NYK",-2.
"Brandon Ingram","LAL",-2.
"Rodney Hood","TOT",-2.
"George Hill","CLE",-2.
"Tim Hardaway Jr.","TOT",-2.
"Wilson Chandler","PHI",-2.
"Dennis Smith Jr.","DAL",-2.1
"Jabari Parker","CHI",-2.1
"Rodney Hood","CLE",-2.1
"Jaylen Brown","BOS",-2.1
"Walt Lemon Jr.","CHI",-2.2
"Reggie Bullock","LAL",-2.2
"E'Twaun Moore","NOP",-2.3
"Bobby Portis","TOT",-2.4
"Wesley Matthews","IND",-2.4
"Kevin Huerter","ATL",-2.4
"Evan Fournier","ORL",-2.4
"Kelly Oubre Jr.","WAS",-2.6
"Damyean Dotson","NYK",-2.6
"Garrett Temple","MEM",-2.7
"Markieff Morris","WAS",-2.7
"Kris Dunn","CHI",-2.7
"Carmelo Anthony","HOU",-2.7
"Garrett Temple","TOT",-2.8
"Bobby Portis","WAS",-2.8
"Allen Crabbe","BRK",-2.8
"Darius Miller","NOP",-2.9
"Andrew Wiggins","MIN",-3.
"Dwight Howard","WAS",-3.
"Cedi Osman","CLE",-3.2
"Tim Hardaway Jr.","DAL",-3.2
"Justin Holiday","MEM",-3.4
"Avery Bradley","TOT",-3.7
"Austin Rivers","HOU",-3.8
"Terrance Ferguson","OKC",-3.8
"Austin Rivers","TOT",-4.3
"Josh Jackson","PHO",-4.6
"Isaiah Canaan","PHO",-4.6
"Avery Bradley","LAC",-4.6
"Collin Sexton","CLE",-4.7
"Dario Šarić","PHI",-4.7
"Kevin Knox","NYK",-5.7
"Wesley Matthews","NYK",-6.6
