,GAME_ID,Player
0,0022000103,Jaren Jackson Jr.
1,0022000103,Ja Morant
2,0022000103,Killian Tillie
3,0022000103,Jontay Porter
4,0022000103,Justise Winslow
5,0022000103,Kentavious Caldwell-Pope
6,0022000103,Kostas Antetokounmpo
7,0022000103,Alex Caruso
8,0022000103,Devontae Cacok
9,0022000104,Greg Whittington
10,0022000104,Michael Porter Jr.
11,0022000104,Karl-Anthony Towns
12,0022000104,Ashton Hagans
13,0022000104,Josh Okogie
14,0022000104,Jordan McLaughlin
15,0022000105,Jay Scrubb
16,0022000105,Keita Bates-Diop
17,0022000105,Derrick White
18,0022000105,Quinndary Weatherspoon
19,0022000106,Chandler Hutchison
20,0022000106,Lauri Markkanen
21,0022000106,Tomas Satoransky
22,0022000106,Ryan Arcidiacono
23,0022000106,Rodney Hood
24,0022000106,Zach Collins
25,0022000107,Jeremy Lamb
26,0022000107,T.J. Warren
27,0022000107,Brian Bowen II
28,0022000107,Jalen Lecque
29,0022000107,Goga Bitadze
30,0022000107,Danuel House Jr.
31,0022000107,Chris Clemons
32,0022000107,Mason Jones
33,0022000107,Kenyon Martin Jr.
34,0022000109,Mike Scott
35,0022000109,Furkan Korkmaz
36,0022000109,Cassius Winston
37,0022000109,Anzejs Pasecniks
38,0022000108,Matthew Dellavedova
39,0022000108,Kevin Porter Jr.
40,0022000108,Dylan Windler
41,0022000108,Kevin Love
42,0022000108,Dante Exum
43,0022000108,Jonathan Isaac
44,0022000108,Chuma Okeke
45,0022000108,Michael Carter-Williams
46,0022000108,Al-Farouq Aminu
47,0022000111,Javonte Green
48,0022000111,Jeff Teague
49,0022000111,Romeo Langford
50,0022000111,Kemba Walker
51,0022000111,Maurice Harkless
52,0022000111,Max Strus
53,0022000110,Tony Snell
54,0022000110,Rajon Rondo
55,0022000110,Danilo Gallinari
56,0022000110,Kris Dunn
57,0022000110,Onyeka Okongwu
58,0022000110,Grant Riller
59,0022000110,Nick Richards
60,0022000110,Cody Zeller
61,0022000110,Nate Darling
62,0022000112,Jarrell Brantley
63,0022000112,Juwan Morgan
64,0022000112,Obi Toppin
65,0022000112,Nerlens Noel
66,0022000112,Alec Burks
67,0022000112,Frank Ntilikina
68,0022000114,Sindarius Thornwell
69,0022000114,Trevor Ariza
70,0022000114,Ty Jerome
71,0022000114,Aleksej Pokusevski
72,0022000113,Sam Merrill
73,0022000113,Torrey Craig
74,0022000113,Mamadi Diakite
75,0022000113,Pat Connaughton
76,0022000113,Josh Jackson
77,0022000113,Frank Jackson
78,0022000113,Killian Hayes
79,0022000115,Patrick McCaw
80,0022000115,Jalen Harris
81,0022000115,Ty-Shon Alexander
82,0022000117,Tomas Satoransky
83,0022000117,Ryan Arcidiacono
84,0022000117,Chandler Hutchison
85,0022000117,Lauri Markkanen
86,0022000117,Jabari Parker
87,0022000117,Chimezie Metu
88,0022000117,DaQuan Jeffries
89,0022000116,Jay Scrubb
90,0022000116,Nico Mannion
91,0022000116,Marquese Chriss
92,0022000116,Juan Toscano-Anderson
93,0022000116,Alen Smailagic
94,0022000116,Klay Thompson
95,0022000118,Mike Scott
96,0022000118,Seth Curry
97,0022000118,Furkan Korkmaz
98,0022000118,Terrance Ferguson
99,0022000118,Kevin Durant
100,0022000118,Nic Claxton
101,0022000118,Reggie Perry
102,0022000118,Spencer Dinwiddie
103,0022000118,Kyrie Irving
104,0022000119,Dante Exum
105,0022000119,Dylan Windler
106,0022000119,Matthew Dellavedova
107,0022000119,Kevin Love
108,0022000119,Kevin Porter Jr.
109,0022000119,Ja Morant
110,0022000119,Justise Winslow
111,0022000119,Jaren Jackson Jr.
112,0022000119,Killian Tillie
113,0022000119,Jontay Porter
114,0022000122,Josh Okogie
115,0022000122,Ashton Hagans
116,0022000122,Jordan McLaughlin
117,0022000122,Karl-Anthony Towns
118,0022000122,Zach Collins
119,0022000120,Tyler Bey
120,0022000120,Trey Burke
121,0022000120,Kristaps Porzingis
122,0022000120,Michael Porter Jr.
123,0022000120,Greg Whittington
124,0022000121,Devontae Cacok
125,0022000121,Kentavious Caldwell-Pope
126,0022000121,Kostas Antetokounmpo
127,0022000121,Derrick White
128,0022000121,Drew Eubanks
129,0022000121,Quinndary Weatherspoon
130,0022000123,Deividas Sirvydis
131,0022000123,Killian Hayes
132,0022000123,Jalen Smith
133,0022000126,Grant Riller
134,0022000126,Nate Darling
135,0022000126,Cody Zeller
136,0022000126,Will Magnay
137,0022000124,Kemba Walker
138,0022000124,Romeo Langford
139,0022000124,Robert Williams III
140,0022000124,Tristan Thompson
141,0022000124,Grant Williams
142,0022000124,Anzejs Pasecniks
143,0022000124,Cassius Winston
144,0022000125,Frank Ntilikina
145,0022000125,Obi Toppin
146,0022000125,Taj Gibson
147,0022000125,Alec Burks
148,0022000125,Ty Jerome
149,0022000125,Trevor Ariza
150,0022000129,Pat Connaughton
151,0022000129,Torrey Craig
152,0022000129,Jaylen Adams
153,0022000129,Mamadi Diakite
154,0022000129,Jarrell Brantley
155,0022000129,Joe Ingles
156,0022000129,Juwan Morgan
157,0022000127,Chuma Okeke
158,0022000127,Jonathan Isaac
159,0022000127,Al-Farouq Aminu
160,0022000127,Markelle Fultz
161,0022000127,Michael Carter-Williams
162,0022000127,Brodric Thomas
163,0022000127,Chris Clemons
164,0022000127,Danuel House Jr.
165,0022000128,Jontay Porter
166,0022000128,Ja Morant
167,0022000128,Justise Winslow
168,0022000128,Killian Tillie
169,0022000128,Jaren Jackson Jr.
170,0022000128,Tyler Johnson
171,0022000128,Kyrie Irving
172,0022000128,Kevin Durant
173,0022000128,Spencer Dinwiddie
174,0022000128,Nic Claxton
175,0022000132,Chimezie Metu
176,0022000132,DaQuan Jeffries
177,0022000132,Jabari Parker
178,0022000132,Kyle Lowry
179,0022000132,Patrick McCaw
180,0022000130,Jay Scrubb
181,0022000130,Klay Thompson
182,0022000130,Marquese Chriss
183,0022000130,Juan Toscano-Anderson
184,0022000130,Alen Smailagic
185,0022000131,Tomas Satoransky
186,0022000131,Chandler Hutchison
187,0022000131,Ryan Arcidiacono
188,0022000131,Lauri Markkanen
189,0022000131,Kentavious Caldwell-Pope
190,0022000131,Kostas Antetokounmpo
191,0022000131,Anthony Davis
192,0022000133,Tobias Harris
193,0022000133,Terrance Ferguson
194,0022000133,Ben Simmons
195,0022000133,Joel Embiid
196,0022000133,Seth Curry
197,0022000133,Michael Porter Jr.
198,0022000133,Greg Whittington
199,0022000136,Max Strus
200,0022000136,Gabe Vincent
201,0022000136,Cassius Winston
202,0022000134,Skylar Mays
203,0022000134,Danilo Gallinari
204,0022000134,Kris Dunn
205,0022000134,Onyeka Okongwu
206,0022000134,Rajon Rondo
207,0022000134,Cody Zeller
208,0022000134,Nate Darling
209,0022000134,Grant Riller
210,0022000135,Brian Bowen II
211,0022000135,Jalen Lecque
212,0022000135,Jeremy Lamb
213,0022000135,T.J. Warren
214,0022000135,Goga Bitadze
215,0022000135,Jalen Smith
216,0022000138,Derrick White
217,0022000138,Drew Eubanks
218,0022000138,Quinndary Weatherspoon
219,0022000138,Jordan McLaughlin
220,0022000138,Josh Okogie
221,0022000138,Ashton Hagans
222,0022000137,Jaylen Adams
223,0022000137,Torrey Craig
224,0022000137,Mamadi Diakite
225,0022000137,Giannis Antetokounmpo
226,0022000137,Kevin Porter Jr.
227,0022000137,Matthew Dellavedova
228,0022000137,Kevin Love
229,0022000137,Dylan Windler
230,0022000137,Dante Exum
231,0022000139,Michael Carter-Williams
232,0022000139,Markelle Fultz
233,0022000139,Chuma Okeke
234,0022000139,Jonathan Isaac
235,0022000139,Al-Farouq Aminu
236,0022000139,Dorian Finney-Smith
237,0022000139,Josh Richardson
238,0022000139,Jalen Brunson
239,0022000139,Kristaps Porzingis
240,0022000140,DaQuan Jeffries
241,0022000140,Jabari Parker
242,0022000140,Kyle Guy
243,0022000140,Keljin Blevins
244,0022000140,Zach Collins
245,0022000141,Juwan Morgan
246,0022000141,Jarrell Brantley
247,0022000141,Derrick Rose
248,0022000141,Killian Hayes
249,0022000142,Otto Porter Jr.
250,0022000142,Ryan Arcidiacono
251,0022000142,Lauri Markkanen
252,0022000142,Tomas Satoransky
253,0022000142,Chandler Hutchison
254,0022000142,Jay Scrubb
255,0022000143,Kyrie Irving
256,0022000143,Tyler Johnson
257,0022000143,Spencer Dinwiddie
258,0022000143,Nic Claxton
259,0022000143,Trevor Ariza
260,0022000143,Ty Jerome
261,0022000144,Taj Gibson
262,0022000144,Obi Toppin
263,0022000144,Alec Burks
264,0022000144,Frank Ntilikina
265,0022000144,Greg Whittington
266,0022000144,Michael Porter Jr.
267,0022000146,Jared Dudley
268,0022000146,Devontae Cacok
269,0022000146,Kostas Antetokounmpo
270,0022000146,Danuel House Jr.
271,0022000146,Chris Clemons
272,0022000146,Brodric Thomas
273,0022000147,Derrick White
274,0022000147,Quinndary Weatherspoon
275,0022000147,Drew Eubanks
276,0022000147,Karl-Anthony Towns
277,0022000147,Ashton Hagans
278,0022000148,Jalen Harris
279,0022000148,Patrick McCaw
280,0022000148,Marquese Chriss
281,0022000148,Klay Thompson
282,0022000148,Alen Smailagic
283,0022000150,Darius Garland
284,0022000150,Kevin Porter Jr.
285,0022000150,Dante Exum
286,0022000150,Dylan Windler
287,0022000150,Matthew Dellavedova
288,0022000150,Kevin Love
289,0022000150,Jontay Porter
290,0022000150,Ja Morant
291,0022000150,Jaren Jackson Jr.
292,0022000150,Killian Tillie
293,0022000150,Justise Winslow
294,0022000152,Jalen Smith
295,0022000152,Russell Westbrook
296,0022000152,Thomas Bryant
297,0022000151,Jaylen Adams
298,0022000151,Mamadi Diakite
299,0022000151,Torrey Craig
300,0022000151,Markelle Fultz
301,0022000151,Chuma Okeke
302,0022000151,Al-Farouq Aminu
303,0022000151,Michael Carter-Williams
304,0022000151,Jonathan Isaac
305,0022000149,Nate Darling
306,0022000149,Grant Riller
307,0022000149,Cody Zeller
308,0022000149,Obi Toppin
309,0022000149,Taj Gibson
310,0022000149,Reggie Bullock
311,0022000149,Alec Burks
312,0022000149,Frank Ntilikina
313,0022000153,Seth Curry
314,0022000153,Tobias Harris
315,0022000153,Ben Simmons
316,0022000153,Vincent Poirier
317,0022000153,Terrance Ferguson
318,0022000153,Rajon Rondo
319,0022000153,Danilo Gallinari
320,0022000153,Bogdan Bogdanovic
321,0022000153,Kris Dunn
322,0022000153,Onyeka Okongwu
323,0022000155,Patrick McCaw
324,0022000155,Jalen Harris
325,0022000155,Keljin Blevins
326,0022000155,Zach Collins
327,0022000156,DaQuan Jeffries
328,0022000156,Jahmi'us Ramsey
329,0022000156,T.J. Warren
330,0022000156,Brian Bowen II
331,0022000156,Jalen Lecque
332,0022000156,Goga Bitadze
333,0022000156,Jeremy Lamb
334,0022000157,Vincent Poirier
335,0022000157,Tobias Harris
336,0022000157,Seth Curry
337,0022000157,Shake Milton
338,0022000157,Matisse Thybulle
339,0022000157,KZ Okpala
340,0022000157,Goran Dragic
341,0022000157,Udonis Haslem
342,0022000157,Maurice Harkless
343,0022000157,Kendrick Nunn
344,0022000159,Matthew Dellavedova
345,0022000159,Dante Exum
346,0022000159,Darius Garland
347,0022000159,Dylan Windler
348,0022000159,Kevin Porter Jr.
349,0022000159,Kevin Love
350,0022000159,Trent Forrest
351,0022000159,Joe Ingles
352,0022000159,Juwan Morgan
353,0022000158,Nic Claxton
354,0022000158,Tyler Johnson
355,0022000158,Kyrie Irving
356,0022000158,Spencer Dinwiddie
357,0022000158,Greg Whittington
358,0022000158,Gary Harris
359,0022000158,Michael Porter Jr.
360,0022000162,Quinndary Weatherspoon
361,0022000162,Drew Eubanks
362,0022000162,Derrick White
363,0022000162,Keita Bates-Diop
364,0022000162,Ty Jerome
365,0022000162,Trevor Ariza
366,0022000161,Devontae Cacok
367,0022000161,Kostas Antetokounmpo
368,0022000161,Jared Dudley
369,0022000161,Wesley Matthews
370,0022000161,Chris Clemons
371,0022000161,Brodric Thomas
372,0022000161,Danuel House Jr.
373,0022000163,Goga Bitadze
374,0022000163,Brian Bowen II
375,0022000163,Jeremy Lamb
376,0022000163,T.J. Warren
377,0022000163,Jalen Lecque
378,0022000163,Nico Mannion
379,0022000163,Alen Smailagic
380,0022000163,Eric Paschall
381,0022000163,Marquese Chriss
382,0022000163,Klay Thompson
383,0022000165,Jaylen Adams
384,0022000165,Mamadi Diakite
385,0022000165,Torrey Craig
386,0022000165,Derrick Rose
387,0022000165,Killian Hayes
388,0022000164,Nate Darling
389,0022000164,Cody Zeller
390,0022000164,Grant Riller
391,0022000164,Maxi Kleber
392,0022000164,Jalen Brunson
393,0022000164,Dwight Powell
394,0022000164,Josh Richardson
395,0022000164,Dorian Finney-Smith
396,0022000168,Frank Ntilikina
397,0022000168,Reggie Bullock
398,0022000168,Alec Burks
399,0022000168,Taurean Prince
400,0022000168,Caris LeVert
401,0022000168,Jarrett Allen
402,0022000168,Rodions Kurucs
403,0022000168,Kyrie Irving
404,0022000170,Jared Dudley
405,0022000170,Kostas Antetokounmpo
406,0022000170,Devontae Cacok
407,0022000170,Wesley Matthews
408,0022000170,Ty Jerome
409,0022000170,Trevor Ariza
410,0022000170,Al Horford
411,0022000169,Justise Winslow
412,0022000169,Jontay Porter
413,0022000169,Killian Tillie
414,0022000169,Ja Morant
415,0022000169,Jaren Jackson Jr.
416,0022000169,Jake Layman
417,0022000169,Jordan McLaughlin
418,0022000169,Ashton Hagans
419,0022000173,Kyle Guy
420,0022000173,DaQuan Jeffries
421,0022000173,Keljin Blevins
422,0022000173,Zach Collins
423,0022000172,Jay Scrubb
424,0022000172,Amir Coffey
425,0022000172,Lonzo Ball
426,0022000172,Eric Bledsoe
427,0022000172,Zion Williamson
428,0022000174,Furkan Korkmaz
429,0022000174,Seth Curry
430,0022000174,Vincent Poirier
431,0022000174,Maurice Harkless
432,0022000174,KZ Okpala
433,0022000174,Kendrick Nunn
434,0022000174,Udonis Haslem
435,0022000174,Goran Dragic
436,0022000175,Nate Darling
437,0022000175,Cody Zeller
438,0022000175,Grant Riller
439,0022000175,Alex Len
440,0022000175,Patrick McCaw
441,0022000176,Dante Exum
442,0022000176,Rodions Kurucs
443,0022000176,Danuel House Jr.
444,0022000176,Brodric Thomas
445,0022000176,Caris LeVert
446,0022000176,Quinndary Weatherspoon
447,0022000176,Derrick White
448,0022000176,Drew Eubanks
449,0022000176,Keita Bates-Diop
450,0022000177,Greg Whittington
451,0022000177,Michael Porter Jr.
452,0022000177,Klay Thompson
453,0022000177,Nico Mannion
454,0022000177,Marquese Chriss
455,0022000177,Juan Toscano-Anderson
456,0022000177,Alen Smailagic
457,0022000178,Jeremy Lamb
458,0022000178,Victor Oladipo
459,0022000178,Brian Bowen II
460,0022000178,Goga Bitadze
461,0022000178,T.J. Warren
462,0022000178,Keljin Blevins
463,0022000178,Zach Collins
464,0022000181,Kevin Porter Jr.
465,0022000181,Matthew Dellavedova
466,0022000181,Kevin Love
467,0022000181,Taurean Prince
468,0022000181,Jarrett Allen
469,0022000181,Frank Ntilikina
470,0022000181,Alec Burks
471,0022000180,Carsen Edwards
472,0022000180,Romeo Langford
473,0022000180,Kemba Walker
474,0022000180,Jayson Tatum
475,0022000180,Robert Williams III
476,0022000180,Chuma Okeke
477,0022000180,Michael Carter-Williams
478,0022000180,Jonathan Isaac
479,0022000180,Al-Farouq Aminu
480,0022000180,Markelle Fultz
481,0022000182,Jaylen Adams
482,0022000182,Mamadi Diakite
483,0022000182,Josh Richardson
