,GAME_ID,Player
0,0041800237,Michael Porter Jr.
1,0041800237,Tyler Lydon
2,0041800237,Gary Trent Jr.
3,0041800237,Jusuf Nurkic
4,0041800217,Furkan Korkmaz
5,0041800217,Zhaire Smith
6,0041800217,OG Anunoby
7,0041800217,Chris Boucher
8,0041800226,Michael Frazier II
9,0041800226,Chris Chiozza
10,0041800226,Kevin Durant
11,0041800226,Damian Jones
12,0041800226,DeMarcus Cousins
13,0041800216,Zhaire Smith
14,0041800216,Furkan Korkmaz
15,0041800216,OG Anunoby
16,0041800216,Chris Boucher
17,0041800236,Tyler Lydon
18,0041800236,Michael Porter Jr.
19,0041800236,Jusuf Nurkic
20,0041800236,Gary Trent Jr.
21,0041800225,Chris Chiozza
22,0041800225,Kenneth Faried
23,0041800225,DeMarcus Cousins
24,0041800225,Damian Jones
25,0041800205,Pau Gasol
26,0041800205,Donte DiVincenzo
27,0041800205,Robert Williams III
28,0041800205,Jonathan Gibson
29,0041800215,Furkan Korkmaz
30,0041800215,Zhaire Smith
31,0041800215,OG Anunoby
32,0041800215,Chris Boucher
33,0041800235,Michael Porter Jr.
34,0041800235,Tyler Lydon
35,0041800235,Gary Trent Jr.
36,0041800235,Jusuf Nurkic
37,0041800224,Danuel House Jr.
38,0041800224,Chris Chiozza
39,0041800224,DeMarcus Cousins
40,0041800224,Damian Jones
41,0041800204,Donte DiVincenzo
42,0041800204,Pau Gasol
43,0041800204,Jonathan Gibson
44,0041800204,Robert Williams III
45,0041800214,Zhaire Smith
46,0041800214,Furkan Korkmaz
47,0041800214,OG Anunoby
48,0041800214,Chris Boucher
49,0041800234,Tyler Lydon
50,0041800234,Michael Porter Jr.
51,0041800234,Jusuf Nurkic
52,0041800234,Gary Trent Jr.
53,0041800223,Michael Frazier II
54,0041800223,Chris Chiozza
55,0041800223,Damian Jones
56,0041800223,DeMarcus Cousins
57,0041800203,Pau Gasol
58,0041800203,Donte DiVincenzo
59,0041800203,Jonathan Gibson
60,0041800203,Marcus Smart
61,0041800233,Michael Porter Jr.
62,0041800233,Tyler Lydon
63,0041800233,Gary Trent Jr.
64,0041800233,Jusuf Nurkic
65,0041800213,Zhaire Smith
66,0041800213,Furkan Korkmaz
67,0041800213,Chris Boucher
68,0041800213,Jeremy Lin
69,0041800213,OG Anunoby
70,0041800232,Tyler Lydon
71,0041800232,Michael Porter Jr.
72,0041800232,Jusuf Nurkic
73,0041800232,Gary Trent Jr.
74,0041800222,Chris Chiozza
75,0041800222,Michael Frazier II
76,0041800222,Damian Jones
77,0041800222,DeMarcus Cousins
78,0041800202,Pau Gasol
79,0041800202,Donte DiVincenzo
80,0041800202,Marcus Smart
81,0041800202,Jonathan Gibson
82,0041800231,Michael Porter Jr.
83,0041800231,Tyler Lydon
84,0041800231,Jusuf Nurkic
85,0041800231,Gary Trent Jr.
86,0041800212,Mike Scott
87,0041800212,Zhaire Smith
88,0041800212,OG Anunoby
89,0041800212,Chris Boucher
90,0041800221,Austin Rivers
91,0041800221,Michael Frazier II
92,0041800221,DeMarcus Cousins
93,0041800221,Damian Jones
94,0041800201,Pau Gasol
95,0041800201,Donte DiVincenzo
96,0041800201,Marcus Smart
97,0041800201,Jonathan Gibson
98,0041800157,Tyler Lydon
99,0041800157,Michael Porter Jr.
100,0041800157,Chimezie Metu
101,0041800157,Dejounte Murray
102,0041800211,Mike Scott
103,0041800211,Amir Johnson
104,0041800211,Chris Boucher
105,0041800211,OG Anunoby
106,0041800146,DeMarcus Cousins
107,0041800146,Damian Jones
108,0041800156,Tyler Lydon
109,0041800156,Michael Porter Jr.
110,0041800156,Dejounte Murray
111,0041800156,Chimezie Metu
112,0041800145,DeMarcus Cousins
113,0041800145,Damian Jones
114,0041800175,Tony Bradley
115,0041800175,Dante Exum
116,0041800175,Chris Chiozza
117,0041800175,Michael Frazier II
118,0041800165,Hamidou Diallo
119,0041800165,Andre Roberson
120,0041800165,Jusuf Nurkic
121,0041800165,Gary Trent Jr.
122,0041800155,Tyler Lydon
123,0041800155,Michael Porter Jr.
124,0041800155,Chimezie Metu
125,0041800155,Dejounte Murray
126,0041800125,Amir Johnson
