,GAME_ID,Player
0,0022000727,Paul Watson
1,0022000727,Jalen Harris
2,0022000727,DeAndre' Bembry
3,0022000727,Shai Gilgeous-Alexander
4,0022000727,Al Horford
5,0022000727,Aleksej Pokusevski
6,0022000727,Luguentz Dort
7,0022000728,Hassan Whiteside
8,0022000728,Marvin Bagley III
9,0022000728,Keita Bates-Diop
10,0022000728,Lonnie Walker IV
11,0022000729,Rodions Kurucs
12,0022000729,Bobby Portis
13,0022000729,P.J. Tucker
14,0022000729,Anthony Davis
15,0022000729,Jared Dudley
16,0022000729,LeBron James
17,0022000730,Zach LaVine
18,0022000730,Garrett Temple
19,0022000730,Coby White
20,0022000730,Frank Kaminsky
21,0022000731,Ignas Brazdeikis
22,0022000731,Joel Embiid
23,0022000731,George Hill
24,0022000731,Mason Jones
25,0022000731,Jarrett Allen
26,0022000731,Larry Nance Jr.
27,0022000179,Jahlil Okafor
28,0022000179,Rodney McGruder
29,0022000179,Killian Hayes
30,0022000179,Hamidou Diallo
31,0022000179,Daniel Gafford
32,0022000179,Ish Smith
33,0022000179,Thomas Bryant
34,0022000179,Davis Bertans
35,0022000732,LaMelo Ball
36,0022000732,Grant Riller
37,0022000732,Spencer Dinwiddie
38,0022000732,James Harden
39,0022000732,Blake Griffin
40,0022000732,Kevin Durant
41,0022000733,KZ Okpala
42,0022000733,Goran Dragic
43,0022000733,Klay Thompson
44,0022000734,Markelle Fultz
45,0022000734,Jonathan Isaac
46,0022000734,Gary Harris
47,0022000734,Cole Anthony
48,0022000734,Brandon Ingram
49,0022000734,Lonzo Ball
50,0022000734,Zion Williamson
51,0022000735,Kris Dunn
52,0022000735,De'Andre Hunter
53,0022000735,John Collins
54,0022000735,Cam Reddish
55,0022000735,Gorgui Dieng
56,0022000735,Lonnie Walker IV
57,0022000735,Trey Lyles
58,0022000735,Keita Bates-Diop
59,0022000736,Patrick Beverley
60,0022000736,Serge Ibaka
61,0022000736,Jay Scrubb
62,0022000736,Greg Whittington
63,0022000736,Monte Morris
64,0022000737,Paul Watson
65,0022000737,Kyle Lowry
66,0022000737,Rodney Hood
67,0022000737,Klay Thompson
68,0022000738,Romeo Langford
69,0022000738,Tristan Thompson
70,0022000738,Semi Ojeleye
71,0022000738,David Nwaba
72,0022000738,Dante Exum
73,0022000738,Eric Gordon
74,0022000738,John Wall
75,0022000739,Mitchell Robinson
76,0022000739,Willie Cauley-Stein
77,0022000739,Tyrell Terry
78,0022000739,JJ Redick
79,0022000740,Malik Monk
80,0022000740,LaMelo Ball
81,0022000740,Jeremy Lamb
82,0022000740,T.J. Warren
83,0022000741,Jaren Jackson Jr.
84,0022000741,Justise Winslow
85,0022000741,D'Angelo Russell
86,0022000742,Trae Young
87,0022000742,De'Andre Hunter
88,0022000742,Cam Reddish
89,0022000742,John Collins
90,0022000742,Kris Dunn
91,0022000742,Zion Williamson
92,0022000742,Josh Hart
93,0022000742,Brandon Ingram
94,0022000743,Adam Mokoka
95,0022000743,Garrett Temple
96,0022000743,Juwan Morgan
97,0022000743,Udoka Azubuike
98,0022000744,Frank Kaminsky
99,0022000744,Shai Gilgeous-Alexander
100,0022000744,Al Horford
101,0022000744,Luguentz Dort
102,0022000744,Darius Bazley
103,0022000745,P.J. Tucker
104,0022000745,Axel Toupane
105,0022000745,Nassir Little
106,0022000746,Hassan Whiteside
107,0022000746,Marvin Bagley III
108,0022000746,Jared Dudley
109,0022000746,LeBron James
110,0022000746,Andre Drummond
111,0022000746,Anthony Davis
112,0022000747,Willie Cauley-Stein
113,0022000747,Tyrell Terry
114,0022000747,JJ Redick
115,0022000747,Rui Hachimura
116,0022000747,Daniel Gafford
117,0022000747,Thomas Bryant
118,0022000747,Bradley Beal
119,0022000749,Dylan Windler
120,0022000749,Jarrett Allen
121,0022000749,Larry Nance Jr.
122,0022000749,KZ Okpala
123,0022000750,George Hill
124,0022000750,Mason Jones
125,0022000750,D'Angelo Russell
126,0022000750,Malik Beasley
127,0022000748,Mitchell Robinson
128,0022000748,Rodney McGruder
129,0022000748,Jahlil Okafor
130,0022000751,Jeremy Lamb
131,0022000751,Domantas Sabonis
132,0022000751,T.J. Warren
133,0022000751,Malcolm Brogdon
134,0022000751,Gorgui Dieng
135,0022000751,Keita Bates-Diop
136,0022000751,Lonnie Walker IV
137,0022000751,Trey Lyles
138,0022000752,Udoka Azubuike
139,0022000752,Elijah Hughes
140,0022000752,Mike Conley
141,0022000752,Juwan Morgan
142,0022000752,Jonathan Isaac
143,0022000752,Gary Harris
144,0022000752,Markelle Fultz
145,0022000752,Cole Anthony
146,0022000754,P.J. Tucker
147,0022000754,Giannis Antetokounmpo
148,0022000754,Hassan Whiteside
149,0022000754,Marvin Bagley III
150,0022000753,Luguentz Dort
151,0022000753,Al Horford
152,0022000753,Darius Bazley
153,0022000753,Shai Gilgeous-Alexander
154,0022000753,Keljin Blevins
155,0022000755,Garrett Temple
156,0022000755,Coby White
157,0022000755,James Harden
158,0022000755,Kevin Durant
159,0022000755,Spencer Dinwiddie
160,0022000756,Patrick Beverley
161,0022000756,Jay Scrubb
162,0022000756,Serge Ibaka
163,0022000756,LeBron James
164,0022000756,Andre Drummond
165,0022000756,Anthony Davis
166,0022000756,Jared Dudley
167,0022000757,Tristan Thompson
168,0022000757,Semi Ojeleye
169,0022000757,LaMelo Ball
170,0022000757,Gordon Hayward
171,0022000757,Malik Monk
172,0022000758,Joel Embiid
173,0022000758,George Hill
174,0022000758,Justise Winslow
175,0022000758,Jaren Jackson Jr.
176,0022000759,John Collins
177,0022000759,Kris Dunn
178,0022000759,De'Andre Hunter
179,0022000759,Cam Reddish
180,0022000759,Klay Thompson
181,0022000759,Eric Paschall
182,0022000760,Zion Williamson
183,0022000760,Isaiah Thomas
184,0022000760,Kira Lewis Jr.
185,0022000760,Josh Hart
186,0022000760,Armoni Brooks
187,0022000760,Dante Exum
188,0022000760,Eric Gordon
189,0022000760,David Nwaba
190,0022000761,Markelle Fultz
191,0022000761,Jonathan Isaac
192,0022000761,Cole Anthony
193,0022000761,Gary Harris
194,0022000761,Markus Howard
195,0022000761,Greg Whittington
196,0022000766,Wayne Ellington
197,0022000766,Rodney McGruder
198,0022000766,Jahlil Okafor
199,0022000766,Mason Plumlee
200,0022000766,Luguentz Dort
201,0022000766,Al Horford
202,0022000766,Shai Gilgeous-Alexander
203,0022000766,Josh Hall
204,0022000763,Kyle Lowry
205,0022000763,Fred VanVleet
206,0022000763,Paul Watson
207,0022000763,Daniel Gafford
208,0022000763,Thomas Bryant
209,0022000763,Rui Hachimura
210,0022000762,John Henson
211,0022000762,Mitchell Robinson
212,0022000762,Blake Griffin
213,0022000762,Landry Shamet
214,0022000762,Tyler Johnson
215,0022000762,Kevin Durant
216,0022000762,Spencer Dinwiddie
217,0022000765,Marvin Bagley III
218,0022000765,Jahmi'us Ramsey
219,0022000765,Jaylen Nowell
220,0022000765,Malik Beasley
221,0022000764,Elijah Hughes
222,0022000764,Juwan Morgan
223,0022000764,Udoka Azubuike
224,0022000764,JJ Redick
225,0022000764,Tyrell Terry
226,0022000764,Willie Cauley-Stein
227,0022000767,Jarrett Allen
228,0022000767,Larry Nance Jr.
229,0022000767,Dylan Windler
230,0022000767,Keita Bates-Diop
231,0022000767,Lonnie Walker IV
232,0022000767,Trey Lyles
233,0022000768,DaQuan Jeffries
234,0022000768,Eric Gordon
235,0022000768,David Nwaba
236,0022000768,Dante Exum
237,0022000768,Armoni Brooks
238,0022000768,Frank Kaminsky
239,0022000768,Abdel Nader
240,0022000769,Adam Mokoka
241,0022000769,Devon Dotson
242,0022000769,Garrett Temple
243,0022000769,Daniel Theis
244,0022000769,Malcolm Brogdon
245,0022000769,Domantas Sabonis
246,0022000769,T.J. Warren
247,0022000771,George Hill
248,0022000771,Mason Jones
249,0022000771,Tristan Thompson
250,0022000771,Evan Fournier
251,0022000770,Kris Dunn
252,0022000770,Cam Reddish
253,0022000770,De'Andre Hunter
254,0022000770,John Collins
255,0022000770,Brandon Ingram
256,0022000770,Kira Lewis Jr.
257,0022000770,Nickeil Alexander-Walker
258,0022000770,Josh Hart
259,0022000772,Andre Drummond
260,0022000772,Anthony Davis
261,0022000772,Jared Dudley
262,0022000772,LeBron James
