,GAME_ID,Player
0,0022000001,Chris Chiozza
1,0022000001,Nic Claxton
2,0022000001,Nico Mannion
3,0022000001,Alen Smailagic
4,0022000001,Klay Thompson
5,0022000001,Draymond Green
6,0022000002,Jay Scrubb
7,0022000002,Marcus Morris Sr.
8,0022000002,Devontae Cacok
9,0022000002,Kostas Antetokounmpo
10,0022000010,Kevin Love
11,0022000010,Dante Exum
12,0022000010,Kevin Porter Jr.
13,0022000010,Matthew Dellavedova
14,0022000010,Nate Darling
15,0022000010,Grant Riller
16,0022000011,Austin Rivers
17,0022000011,Omari Spellman
18,0022000011,Jeremy Lamb
19,0022000011,Brian Bowen II
20,0022000011,Goga Bitadze
21,0022000012,Max Strus
22,0022000012,Gabe Vincent
23,0022000012,Al-Farouq Aminu
24,0022000012,Jonathan Isaac
25,0022000012,James Ennis III
26,0022000013,Vincent Poirier
27,0022000013,Paul Reed
28,0022000013,Garrison Mathews
29,0022000013,Cassius Winston
30,0022000013,Rui Hachimura
31,0022000003,D.J. Augustin
32,0022000003,Kemba Walker
33,0022000003,Romeo Langford
34,0022000003,Tacko Fall
35,0022000014,Wenyen Gabriel
36,0022000014,Will Magnay
37,0022000014,Jalen Harris
38,0022000014,Patrick McCaw
39,0022000015,Devon Dotson
40,0022000015,Thaddeus Young
41,0022000015,Clint Capela
42,0022000015,Kris Dunn
43,0022000015,Rajon Rondo
44,0022000015,Onyeka Okongwu
45,0022000015,Tony Snell
46,0022000017,Justise Winslow
47,0022000017,Killian Tillie
48,0022000017,Xavier Tillman
49,0022000017,Jaren Jackson Jr.
50,0022000017,Jontay Porter
51,0022000017,Quinndary Weatherspoon
52,0022000017,Derrick White
53,0022000018,Deividas Sirvydis
54,0022000018,Jaylen Nowell
55,0022000018,Ashton Hagans
56,0022000018,Jordan McLaughlin
57,0022000019,Jabari Parker
58,0022000019,DaQuan Jeffries
59,0022000019,JaMychal Green
60,0022000019,Greg Whittington
61,0022000020,Jarrell Brantley
62,0022000020,Trent Forrest
63,0022000020,Zach Collins
64,0022000020,Anfernee Simons
65,0022000020,Nassir Little
66,0022000004,Tyler Bey
67,0022000004,Kristaps Porzingis
68,0022000004,Nate Hinton
69,0022000004,Frank Kaminsky
70,0022000004,Abdel Nader
71,0022000005,Gabe Vincent
72,0022000005,Max Strus
73,0022000005,Will Magnay
74,0022000005,Wenyen Gabriel
75,0022000006,Mamadi Diakite
76,0022000006,Nico Mannion
77,0022000006,Alen Smailagic
78,0022000006,Klay Thompson
79,0022000006,Draymond Green
80,0022000007,Kemba Walker
81,0022000007,Robert Williams III
82,0022000007,Romeo Langford
83,0022000007,Tacko Fall
84,0022000007,Chris Chiozza
85,0022000007,Nic Claxton
86,0022000008,Devontae Cacok
87,0022000008,Kostas Antetokounmpo
88,0022000008,Tyler Bey
89,0022000008,Kristaps Porzingis
90,0022000008,Nate Hinton
91,0022000009,Jay Scrubb
92,0022000009,Marcus Morris Sr.
93,0022000009,Greg Whittington
94,0022000009,JaMychal Green
95,0022000021,Justise Winslow
96,0022000021,Killian Tillie
97,0022000021,De'Anthony Melton
98,0022000021,Jaren Jackson Jr.
99,0022000021,Jontay Porter
100,0022000021,Clint Capela
101,0022000021,Kris Dunn
102,0022000021,Onyeka Okongwu
103,0022000021,Tony Snell
104,0022000023,Matthew Dellavedova
105,0022000023,Kevin Porter Jr.
106,0022000023,Dylan Windler
107,0022000023,Saben Lee
108,0022000024,Al-Farouq Aminu
109,0022000024,Jonathan Isaac
110,0022000024,James Ennis III
111,0022000024,Garrison Mathews
